UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
BA,37559,NOVA CANAÃ," 12,977 "
BA,37567,NOVA FÁTIMA," 7,625 "
BA,39969,NOVA IBIÁ," 5,609 "
BA,37575,NOVA ITARANA," 6,429 "
BA,37583,NOVA REDENÇÃO," 6,393 "
BA,37591,NOVA SOURE," 21,299 "
BA,37613,NOVA VIÇOSA," 31,982 "
BA,39942,NOVO HORIZONTE," 8,587 "
BA,37621,NOVO TRIUNFO," 8,377 "
BA,37630,OLINDINA," 20,573 "
BA,37656,OLIVEIRA DOS BREJINHOS," 16,908 "
BA,37672,OURIÇANGAS," 7,097 "
BA,37680,OUROLÂNDIA," 12,335 "
BA,37699,PALMAS DE MONTE ALTO," 17,292 "
BA,37710,PALMEIRAS," 7,275 "
BA,37737,PARAMIRIM," 17,318 "
BA,37753,PARATINGA," 23,896 "
BA,37770,PARIPIRANGA," 22,114 "
BA,37796,PAU BRASIL," 7,961 "
BA,37818,PAULO AFONSO," 84,751 "
BA,39810,PÉ DE SERRA," 11,899 "
BA,37834,PEDRÃO," 6,338 "
BA,37850,PEDRO ALEXANDRE," 10,277 "
BA,37877,PIATÃ," 16,916 "
BA,37893,PILÃO ARCADO," 27,014 "
BA,37915,PINDAÍ," 12,639 "
BA,37931,PINDOBAÇU," 15,341 "
BA,39837,PINTADAS," 8,328 "
BA,37940,PIRAÍ DO NORTE," 6,800 "
BA,37958,PIRIPÁ," 9,520 "
BA,37974,PIRITIBA," 14,436 "
BA,37990,PLANALTINO," 6,751 "
BA,38016,PLANALTO," 19,575 "
BA,38032,POÇÕES," 38,065 "
BA,38059,POJUCA," 27,349 "
BA,38067,PONTO NOVO," 14,309 "
BA,38075,PORTO SEGURO," 96,574 "
BA,38091,POTIRAGUÁ," 9,211 "
BA,38113,PRADO," 24,010 "
BA,38130,PRESIDENTE DUTRA," 10,807 "
BA,38156,PRESIDENTE JÂNIO QUADROS," 11,853 "
BA,38164,PRESIDENTE TANCREDO NEVES," 21,234 "
BA,38172,QUEIMADAS," 20,606 "
BA,38199,QUIJINGUE," 21,743 "
BA,39845,QUIXABEIRA," 8,785 "
BA,39853,RAFAEL JAMBEIRO," 19,114 "
BA,38210,REMANSO," 31,763 "
BA,38237,RETIROLÂNDIA," 12,217 "
BA,38253,RIACHÃO DAS NEVES," 19,925 "
BA,38270,RIACHÃO DO JACUÍPE," 26,704 "
BA,38296,RIACHO DE SANTANA," 23,696 "
BA,38318,RIBEIRA DO AMPARO," 12,616 "
BA,38334,RIBEIRA DO POMBAL," 39,428 "
BA,38342,RIBEIRÃO DO LARGO," 7,978 "
BA,38350,RIO DE CONTAS," 12,284 "
BA,38377,RIO DO ANTÔNIO," 11,458 "
BA,38393,RIO DO PIRES," 10,056 "
BA,38415,RIO REAL," 29,623 "
BA,38431,RODELAS," 7,116 "
BA,38458,RUY BARBOSA," 24,772 "
BA,38474,SALINAS DA MARGARIDA," 13,504 "
BA,38490,SALVADOR," 1,897,098 "
BA,38512,SANTA BÁRBARA," 18,633 "
BA,38539,SANTA BRÍGIDA," 12,042 "
BA,38555,SANTA CRUZ CABRÁLIA," 20,700 "
BA,38571,SANTA CRUZ DA VITÓRIA," 5,000 "
BA,38598,SANTA INÊS," 8,471 "
BA,39870,SANTA LUZIA," 10,202 "
BA,38636,SANTA MARIA DA VITÓRIA," 31,525 "
BA,35491,SANTA RITA DE CÁSSIA," 23,128 "
BA,38695,SANTA TEREZINHA," 9,136 "
BA,38610,SANTALUZ," 31,539 "
BA,38652,SANTANA," 20,929 "
BA,38679,SANTANÓPOLIS," 8,937 "
BA,38717,SANTO AMARO," 48,195 "
BA,38733,SANTO ANTÔNIO DE JESUS," 70,531 "
BA,38750,SANTO ESTEVÃO," 36,370 "
BA,38776,SÃO DESIDÉRIO," 23,639 "
BA,38806,SÃO DOMINGOS," 7,752 "
BA,38814,SÃO FELIPE," 17,430 "
BA,38792,SÃO FÉLIX," 10,620 "
BA,38822,SÃO FÉLIX DO CORIBE," 12,336 "
BA,38830,SÃO FRANCISCO DO CONDE," 32,279 "
BA,39896,SÃO GABRIEL," 15,050 "
BA,38857,SÃO GONÇALO DOS CAMPOS," 28,673 "
BA,39926,SÃO JOSÉ DA VITÓRIA," 4,937 "
BA,38865,SÃO JOSÉ DO JACUÍPE," 8,453 "
BA,38873,SÃO MIGUEL DAS MATAS," 9,170 "
BA,38890,SÃO SEBASTIÃO DO PASSÉ," 34,697 "
BA,38911,SAPEAÇU," 14,836 "
BA,38938,SÁTIRO DIAS," 14,018 "
BA,38946,SAUBARA," 12,535 "
BA,38954,SAÚDE," 9,016 "
BA,38970,SEABRA," 31,770 "
BA,38997,SEBASTIÃO LARANJEIRAS," 7,021 "
BA,39012,SENHOR DO BONFIM," 49,719 "
BA,39039,SENTO SÉ," 30,028 "
BA,39047,SERRA DO RAMALHO," 25,894 "
BA,39055,SERRA DOURADA," 15,205 "
BA,39071,SERRA PRETA," 17,414 "
BA,39098,SERRINHA," 58,606 "
BA,39110,SERROLÂNDIA," 9,746 "
BA,39136,SIMÕES FILHO," 82,826 "
BA,39144,SÍTIO DO MATO," 10,676 "
BA,39900,SÍTIO DO QUINTO," 9,996 "
BA,39985,SOBRADINHO," 19,474 "
BA,39152,SOUTO SOARES," 14,003 "
BA,39179,TABOCAS DO BREJO VELHO," 10,853 "
BA,39195,TANHAÇU," 17,514 "
BA,39918,TANQUE NOVO," 14,091 "
BA,39217,TANQUINHO," 7,202 "
BA,39233,TAPEROÁ," 14,058 "
BA,39250,TAPIRAMUTÁ," 11,844 "
BA,39934,TEIXEIRA DE FREITAS," 108,615 "
BA,39276,TEODORO SAMPAIO," 6,876 "
